Pfile	Actions	Goals	PlanTime	Cost
pfile1	1	3	0.01	1
pfile2	6	3	0.02	6
pfile3	7	5	0.01	7
pfile4	10	5	0.01	10
pfile5	25	4	0.01	25
pfile6	20	5	0.02	20
pfile7	16	6	0.02	16
pfile8	25	7	0.03	25
pfile9	25	7	0.39	25
pfile10	24	9	0.41	24
pfile11	15	8	0.41	15
pfile12	25	8	0.39	25
pfile13	35	10	1.19	35
pfile14	39	12	1.95	39
pfile15	56	14	5.88	56
pfile16	53	17	12.17	53
pfile17	93	23	36.77	93
pfile18	89	21	44.94	89
pfile19	112	27	161.73	112
pfile20	121	25	186.5	121
